point	x	y	Oxalis	boreal	nBor	nTot	Grn	NDVI	T61	Wet
341	526.87	2918.21	0	0	0	28	0.136997	0.621156	295.948	-0.0533363
342	392.91	2801.3	0	0	0	38	0.116553	0.603311	295.948	-0.0529721
343	445	2751.99	0	2.3809524	1	42	0.0887247	0.556185	295.948	-0.0486161
344	545.31	2782.77	0	0	0	39	0.101283	0.585664	295.948	-0.0443723
345	536.08	2704.3	0	2.4390244	1	41	0.0916973	0.580938	295.948	-0.0459213
346	556.32	2326.21	1	10.7142857	6	56	0.0325627	0.40607	296.367	-0.0211663
347	853.83	2279.95	1	18.1818182	6	33	0.0295119	0.380762	296.367	-0.0182342
348	815.98	2240.97	0	22.2222222	4	18	0.0268824	0.3984	295.948	-0.0286478
349	1001.01	2259.94	1	15.5555556	7	45	0.0434511	0.43808	296.367	-0.0268038
350	970.51	2161.11	0	36.8421053	7	19	0.0319618	0.396161	295.948	-0.0219852
351	531.07	2253.61	1	27.2727273	6	22	0.0255488	0.374155	296.367	-0.0152424
352	853.85	2147.46	0	41.6666667	5	12	0.0338931	0.40607	295.948	-0.0191931
353	500.59	1856.26	1	45.8333333	11	24	0.0218913	0.365633	296.785	-0.0133641
354	692	2071.79	1	19.4444444	7	36	0.0230811	0.356134	295.948	-0.0144362
355	715	1903.55	0	60	6	10	0.0194701	0.3668	295.948	-0.011577
356	860	1814.19	0	33.3333333	3	9	0.0373513	0.401259	296.785	-0.0256859
357	960.04	1940.37	0	17.0731707	7	41	0.022628	0.356134	296.367	-0.0127367
358	929.5	1779.47	0	5.7692308	3	52	0.0515666	0.462935	296.785	-0.0330163
359	752.94	1806.81	0	14.8148148	4	27	0.0374754	0.408269	296.785	-0.0289603
360	1492.66	1636.93	0	8	4	50	0.0520716	0.473226	296.785	-0.0295154
361	1645.05	1618.67	0	10.5263158	2	19	0.0394552	0.438527	295.948	-0.0144612
362	1839.77	1605.93	1	15	3	20	0.034533	0.40607	295.948	-0.0150036
363	1896.15	1555.17	0	0	0	18	0.0838817	0.534935	295.948	-0.0347985
364	1942.76	1392.86	1	18.75	3	16	0.0728759	0.526738	295.527	-0.0327907
365	1434.83	1195.34	0	0	0	12	0.0790808	0.536162	295.105	-0.0334802
366	1611.21	1178.41	0	5.2631579	1	19	0.136276	0.647218	294.681	-0.0467638
367	1876.41	1298.31	0	0	0	19	0.082179	0.545217	295.527	-0.0358203
368	386.33	3973.55	0	18.1818182	10	55	0.0266076	0.388558	298.442	-0.0332619
369	690.83	3909.32	1	20	7	35	0.033458	0.420837	297.616	-0.0229294
370	127.38	3873.15	0	8.9285714	5	56	0.0245105	0.354813	298.03	-0.0331367
371	140.82	3782	0	3.8461538	1	26	0.0352171	0.396161	296.785	-0.0186965
372	233	3773.71	0	2.0833333	1	48	0.0393104	0.434887	297.201	-0.0195017
373	642.12	3738.43	0	8.3333333	3	36	0.0300803	0.396161	297.616	-0.0303031
374	693.91	3746.75	0	0	0	43	0.0306735	0.396161	297.616	-0.0275858
375	43.46	3553.12	0	0	0	10	0.0213971	0.363564	299.262	-0.036755
376	136.67	3543.79	0	5.8823529	2	34	0.0214906	0.363564	298.442	-0.0338105
377	663	6632.06	0	13.6363636	3	22	0.101986	0.582868	296.367	-0.0557526
378	736.41	6623.17	0	0	0	12	0.106931	0.576742	296.367	-0.0506588
379	943.98	6606.72	0	0	0	12	0.107348	0.606794	295.948	-0.0477458
380	948	6518.12	0	0	0	13	0.0865029	0.558157	296.367	-0.0417232
381	494.62	6471.25	0	10.5263158	2	19	0.0553582	0.468809	296.785	-0.0333257
382	910	6430.78	1	14.2857143	3	21	0.0491265	0.461038	296.367	-0.0204374
383	485.75	6359.9	0	18.1818182	2	11	0.0508997	0.44099	297.201	-0.02762
384	448	6180.19	1	17.6470588	3	17	0.0250771	0.382451	296.785	-0.0156076
385	679.43	6144.66	0	22.2222222	2	9	0.0592775	0.506809	296.785	-0.0258221
386	721.22	6362.47	1	4.2553191	2	47	0.038403	0.438527	296.367	-0.0183269
387	1114.79	2750.84	0	0	0	20	0.111729	0.593346	295.527	-0.0468419
388	1158.8	2697.69	0	5.2631579	1	19	0.137436	0.633265	295.527	-0.0663502
389	1220	2560.5	0	10	1	10	0.0554312	0.501296	295.527	-0.040559
390	1347.14	2747.76	0	3.4482759	1	29	0.174478	0.64564	295.948	-0.0751154
391	1361.48	2663.83	0	0	0	51	0.199192	0.670451	295.527	-0.0836995
392	1231.47	2678.24	0	0	0	23	0.171805	0.6531	295.948	-0.0633772
393	1507.92	2526.64	1	6.0606061	2	33	0.0684901	0.506586	294.256	-0.0369314
394	1165.97	2430.46	1	11.1111111	2	18	0.0694491	0.532644	295.948	-0.0333971
395	1083.05	2488.79	0	2.2222222	1	45	0.0609023	0.48018	295.948	-0.0186821
396	1071.79	2450.94	1	20	3	15	0.0497249	0.47177	295.948	-0.013992
397	1293.93	2450.87	1	23.5294118	4	17	0.019024	0.338597	295.948	-0.0130174
398	1150	2351.59	1	26.3157895	5	19	0.035666	0.403576	295.948	-0.0223913
399	1347.18	2560.45	0	0	0	8	0.182497	0.676862	295.105	-0.0836131
400	1249.89	2505.15	1	12.5	3	24	0.0230753	0.384279	295.527	-0.0146711
401	1110	2279.94	1	10	2	20	0.0373502	0.427948	296.367	-0.0208211
402	1164.91	2288.09	1	20	3	15	0.0496263	0.461038	296.367	-0.0206646
403	1258.07	2282.02	1	15	3	20	0.0264923	0.372765	296.367	-0.0228925
404	1436.24	2254.32	1	20	2	10	0.04282	0.431502	296.785	-0.0238984
405	1447.47	2337.3	1	21.4285714	3	14	0.0282211	0.380762	296.367	-0.0182083
406	556	6569.95	0	6.25	1	16	0.106111	0.582868	296.367	-0.0493875
407	625.91	6648.54	0	10	2	20	0.111231	0.580257	296.367	-0.053974
408	897.69	6296.25	0	16.6666667	4	24	0.0380431	0.410812	296.367	-0.016296
409	933.02	6254.07	1	24	6	25	0.0390845	0.427948	296.785	-0.0163933
410	899.96	6192.53	1	26.6666667	4	15	0.0295633	0.380762	296.785	-0.0116623
411	808	6148.11	1	33.3333333	5	15	0.0503033	0.477951	296.367	-0.0212176
412	906.79	6149.18	1	23.5294118	4	17	0.0375841	0.410812	296.785	-0.0174444
413	1081.12	6594.17	0	0	0	25	0.117032	0.609947	295.948	-0.0381526
414	1035.55	6532.72	1	3.8461538	1	26	0.0546474	0.48399	296.367	-0.0174341
415	1008.23	6440.36	1	8.6956522	2	23	0.033068	0.396161	296.367	-0.0171741
416	1093.7	6488.24	1	18.1818182	6	33	0.0545854	0.479115	296.367	-0.0274777
417	1286.24	6501.95	1	26.0869565	6	23	0.0425382	0.448272	297.201	-0.0253726
418	1495.95	6480.22	1	20.4081633	10	49	0.0932682	0.556185	295.948	-0.0397268
419	1470	6463.15	1	18.9189189	7	37	0.0661207	0.522642	295.948	-0.0299439
420	1370	6495.12	1	21.4285714	6	28	0.0426801	0.458956	296.367	-0.0257021
421	1210	6399.31	0	18.75	6	32	0.0321453	0.396161	297.201	-0.0245707
422	1059.51	6409.58	1	17.2413793	5	29	0.0460161	0.46544	296.367	-0.0186856
423	1210	6462.01	1	30.4347826	7	23	0.0381205	0.417874	297.201	-0.0210427
424	1010	6340.06	1	33.3333333	7	21	0.0550138	0.473226	296.367	-0.0201103
425	1482.27	6294.26	1	28.5714286	8	28	0.0334214	0.413546	296.785	-0.0195584
426	1238.4	6113.07	0	25	5	20	0.0453394	0.431502	297.201	-0.0221172
427	1314.73	6115.35	0	13.0434783	3	23	0.0423662	0.44166	297.201	-0.0213187
428	1445.77	6105.01	1	22.2222222	6	27	0.026539	0.372765	297.616	-0.0214203
429	1404.02	6332.48	0	16.6666667	3	18	0.0337769	0.420837	296.785	-0.0261977
430	1477.12	6381.22	1	21.4285714	6	28	0.0363476	0.420837	296.367	-0.0178446
431	1285.69	6316.1	0	17.3913043	4	23	0.0257722	0.382451	297.201	-0.0127243
432	994.5	6242.23	1	27.5862069	8	29	0.02987	0.3984	296.785	-0.0155188
433	1040	6290.96	1	17.8571429	5	28	0.0349244	0.43137	296.367	-0.0241337
434	1407.49	6162.11	1	23.8095238	5	21	0.034429	0.403576	297.201	-0.0214199
435	1267.11	6223	1	26.0869565	6	23	0.0347219	0.396161	297.201	-0.0133696
436	1021.23	6132.6	1	21.4285714	6	28	0.0405933	0.445506	297.201	-0.0181206
437	1436.54	6210.29	1	33.3333333	5	15	0.0407135	0.44166	297.201	-0.0273749
438	512.02	6696.33	0	13.5135135	5	37	0.109717	0.580257	295.948	-0.0533617
439	923.49	4514.83	1	19.3548387	6	31	0.0607862	0.49602	295.948	-0.0301625
440	855.58	4465.15	0	8.3333333	2	24	0.0718157	0.53749	296.367	-0.0352494
441	956.15	4448.24	0	13.0434783	3	23	0.0547201	0.48989	296.367	-0.0272804
442	1072.42	4482.18	0	8	2	25	0.0487503	0.461038	296.367	-0.026589
443	1176.92	4453.44	1	14.2857143	4	28	0.0516123	0.495261	296.367	-0.0311552
444	1290	4449.51	0	8.8235294	3	34	0.0588079	0.506809	296.367	-0.0349182
445	820.3	4384.2	1	20	5	25	0.0450467	0.46544	296.785	-0.0275545
446	829.47	4260.09	0	7.6923077	2	26	0.0409857	0.44166	297.201	-0.0321155
447	1235.73	4245.7	0	12.5	4	32	0.0579007	0.490508	296.367	-0.0332521
448	790.26	4170.01	0	13.6363636	3	22	0.0337251	0.410812	297.616	-0.0313981
449	961.36	4065.42	0	11.1111111	2	18	0.0399948	0.408269	297.201	-0.0271791
450	1229.16	4137.27	0	7.4074074	2	27	0.0838585	0.539346	296.785	-0.0419629
451	875.18	4061.58	0	8.6956522	2	23	0.032587	0.403576	297.616	-0.0277386
452	790.25	3968.77	1	22.7272727	5	22	0.0440928	0.448272	296.785	-0.0273606
453	868.68	3955.71	0	20	4	20	0.0443818	0.40788	297.616	-0.0512649
454	919.57	3942.66	0	21.0526316	4	19	0.03138	0.368134	298.03	-0.0480858
455	1086.77	3928.35	0	12.5	3	24	0.0291091	0.38673	297.616	-0.0344256
456	1217.43	3913.91	1	18.1818182	6	33	0.0408552	0.424769	297.201	-0.0303175
457	1276.19	4311	0	11.1111111	4	36	0.0579118	0.501296	296.785	-0.026676
458	1233.37	4017.9	0	7.6923077	2	26	0.0526508	0.468809	296.785	-0.0376212
459	2153.93	2640.07	1	10.6382979	5	47	0.0621524	0.512202	296.785	-0.0306802
460	2501.3	2598.88	1	8.4745763	5	59	0.0655422	0.517479	296.367	-0.0227182
461	2610.66	2542.6	0	11.5384615	3	26	0.0982273	0.568027	296.367	-0.0465399
462	2150.37	2571.56	0	22.2222222	2	9	0.076715	0.52118	296.785	-0.0325081
463	2286.05	2577.37	1	40	6	15	0.067634	0.511862	296.785	-0.0291846
464	2383.42	2564.61	1	23.5294118	4	17	0.0557163	0.484875	296.367	-0.0306104
465	2619.92	2473.11	1	18.5185185	5	27	0.0511793	0.477951	296.367	-0.0152933
466	2139.17	2510.3	1	30	6	20	0.0553734	0.468809	296.785	-0.0202784
467	2504.25	2522.12	1	14.8148148	4	27	0.0569339	0.468809	296.367	-0.0194184
468	2275.58	2490.69	0	40	4	10	0.0479239	0.450789	296.785	-0.0211951
469	2605.33	2444.61	1	9.0909091	2	22	0.0529883	0.473226	296.367	-0.0249667
470	2278.53	2130.57	0	8	2	25	0.0568645	0.484875	296.785	-0.0294266
471	2608.29	2410.2	0	12.5	4	32	0.0474262	0.444507	296.367	-0.0296987
472	2106.84	2478.93	1	26.3157895	5	19	0.0617458	0.485685	296.785	-0.0301215
473	2129.39	2460.26	1	36.8421053	7	19	0.0720095	0.511548	296.367	-0.0325003
474	2227.52	2441.67	1	23.8095238	5	21	0.0566104	0.468809	296.367	-0.0212498
475	2443.42	2430.84	1	33.3333333	4	12	0.0462889	0.428346	296.367	-0.0269194
476	2522.92	2411.2	1	27.2727273	3	11	0.059938	0.490508	296.367	-0.0238228
477	2117.6	2390.66	1	31.5789474	6	19	0.0453757	0.458956	295.948	-0.0259795
478	2411.01	2116.77	0	20	4	20	0.0429033	0.43808	296.785	-0.0257972
479	2323.66	2364.1	1	20	4	20	0.0605165	0.49602	296.367	-0.0310484
480	2586.72	2315.06	1	12.1212121	4	33	0.0534839	0.479115	296.367	-0.0271893
481	2198.05	2423.02	1	38.4615385	5	13	0.0742369	0.531497	295.948	-0.0370365
482	2584.71	2224.77	1	22.2222222	2	9	0.0735937	0.542236	296.367	-0.0347194
483	2112.72	2358.17	0	20	3	15	0.0451969	0.458956	295.948	-0.0182945
484	2113.66	2160.91	0	9.0909091	1	11	0.0570825	0.501296	295.948	-0.0311281
485	2084.25	2226.73	1	25	5	20	0.0657272	0.496352	295.948	-0.027064
486	2100.91	2305.18	1	20	4	20	0.0633569	0.49602	295.948	-0.0218094
487	2180.44	2158.06	0	8.3333333	2	24	0.061522	0.49602	296.367	-0.028655
488	2537.65	2115.87	1	25	4	16	0.0525352	0.473226	296.367	-0.0232672
489	2572	2176.71	1	19.047619	4	21	0.0663047	0.48643	296.367	-0.0360225
490	2357.06	2186.51	1	21.0526316	4	19	0.0527194	0.462935	296.785	-0.0267328
491	2318.76	2212.04	1	22.2222222	4	18	0.0561442	0.468809	296.367	-0.0218715
492	450.3	6145.34	0	16.6666667	5	30	0.0350645	0.43137	296.785	-0.0197169
493	921.31	6098.23	1	21.0526316	4	19	0.0276895	0.400819	296.367	-0.0068973
494	768.23	5908.84	1	31.5789474	6	19	0.0449688	0.448272	296.367	-0.0214363
495	413.95	5869.52	1	50	9	18	0.0437641	0.43808	297.201	-0.0329201
496	623	4977.28	0	17.2413793	5	29	0.0603684	0.506809	296.785	-0.0340582
497	791.8	4991.99	1	16.6666667	4	24	0.0657927	0.501522	296.785	-0.0363836
498	277.52	4905.6	1	14.2857143	5	35	0.0487044	0.450789	297.616	-0.0289414
499	300.15	5033.22	1	14.2857143	5	35	0.0462881	0.43808	297.201	-0.0260392
500	796.72	4856.55	0	17.1428571	6	35	0.0594021	0.523471	296.367	-0.0304681
501	251.08	4704.45	0	19.3548387	6	31	0.0563436	0.48018	298.03	-0.0406187
502	259.91	4636.74	1	23.8095238	5	21	0.0436606	0.444507	298.03	-0.0407079
503	543.49	4613.2	0	15.625	5	32	0.0642859	0.522642	296.785	-0.0367894
504	636.7	4606.32	1	16.6666667	6	36	0.0664985	0.506693	296.785	-0.0311516
505	774.11	4596.43	1	17.1428571	6	35	0.0454637	0.46544	296.367	-0.0227786
506	463	4624	0	11.1111111	3	27	0.0529276	0.468809	297.201	-0.0372621
507	883.03	4949.75	0	14.2857143	3	21	0.0527659	0.48399	296.367	-0.0257519
508	1140.17	4946.85	1	16.6666667	5	30	0.0423662	0.44166	296.367	-0.0213187
509	1332.49	4850.59	0	11.1111111	4	36	0.0413067	0.44166	296.367	-0.0246577
510	848.72	4771.15	1	17.2413793	5	29	0.0705323	0.521881	296.367	-0.0397349
511	1026.35	4832.92	0	21.0526316	4	19	0.0464352	0.458956	296.367	-0.0226406
512	1175.49	4787.78	1	15.625	5	32	0.0434911	0.448272	296.367	-0.0272994
513	865.37	4634.76	1	28.5714286	4	14	0.0453706	0.448272	296.367	-0.0297077
514	1008.67	4541.56	0	5.2631579	1	19	0.0767609	0.531497	295.948	-0.0301556
515	1297.2	4516.01	1	13.3333333	2	15	0.0809839	0.567028	296.367	-0.0389676
516	1486.57	4959.62	1	16	4	25	0.0278733	0.382451	296.367	-0.0134673
517	1408.06	4889.89	1	25	5	20	0.0415521	0.445506	296.367	-0.0171994
518	1520.94	4758.37	0	23.5294118	4	17	0.037219	0.420837	296.367	-0.0170199
519	1796.7	4563.12	1	19.047619	4	21	0.0474141	0.461038	297.201	-0.030287
520	1866.36	4930.11	1	20	5	25	0.0274617	0.372765	296.785	-0.0140237
521	1859.53	4736.78	0	18.1818182	4	22	0.0523069	0.48399	296.785	-0.0269004
522	1459.14	4652.42	0	20	3	15	0.0380789	0.427948	296.367	-0.0187868
523	1534.69	4607.26	0	11.5384615	3	26	0.031202	0.380762	296.367	-0.0209051
524	1414.96	4492.41	1	4.1666667	1	24	0.0583132	0.518084	295.948	-0.0309628
525	1583.78	4468.93	1	30	3	10	0.0488677	0.477951	296.367	-0.0307081
526	1714.3	4475.79	1	23.8095238	5	21	0.0380217	0.427948	297.201	-0.0282067
527	1810.44	4438.42	0	10.7142857	3	28	0.0728874	0.51594	298.03	-0.0535609
528	1937.01	4819.26	0	15.625	5	32	0.0357068	0.403576	296.785	-0.023767
529	2143.13	4893.86	0	13.0434783	3	23	0.0476442	0.461038	297.201	-0.0314001
530	2278.58	4862.46	0	11.5384615	3	26	0.0425037	0.431502	297.201	-0.0262566
531	2336.43	4784.91	0	21.2121212	7	33	0.0615896	0.491075	296.785	-0.0422295
532	2321.74	4693.57	1	8.8235294	3	34	0.0935216	0.580938	296.367	-0.0470234
533	2391.41	4876.16	0	8.5714286	3	35	0.0608029	0.496352	297.616	-0.0472046
534	1861.48	4439.42	0	8.6956522	2	23	0.0790505	0.549614	297.616	-0.04801
535	2337.45	4522.91	1	14.2857143	3	21	0.0364774	0.449649	296.367	-0.0187624
536	2278.56	4400.14	1	9.0909091	2	22	0.0562163	0.512574	296.367	-0.0282246
537	2245.19	4738.75	0	4.6511628	2	43	0.0863577	0.547922	296.785	-0.0498682
538	1959.61	1059.69	0	0	0	23	0.117346	0.620185	295.105	-0.0456404
539	1941.94	948.73	0	0	0	35	0.116474	0.620185	295.527	-0.0464651
540	1951.73	813.35	0	0	0	28	0.12098	0.629645	295.105	-0.0515787
541	1898.74	732.86	0	0	0	16	0.121623	0.619504	294.681	-0.0538958
542	1940.95	656.26	0	0	0	20	0.210139	0.674099	295.105	-0.0832919
543	1944.89	606.21	0	0	0	59	0.132163	0.634432	295.105	-0.0525407
544	1997.87	554.23	0	0	0	16	0.109802	0.624269	295.105	-0.045517
545	2147.06	615.09	0	0	0	12	0.118175	0.587115	294.681	-0.0446815
546	2127.44	553.22	0	0	0	36	0.1193	0.603311	294.681	-0.0466776
547	2262.83	521.83	0	0	0	31	0.12956	0.628604	295.105	-0.0555275
548	2349.2	508.1	0	0	0	28	0.120332	0.629645	295.105	-0.0529897
549	2400.24	986.02	0	0	0	14	0.102913	0.589316	295.105	-0.0477323
550	2374.72	804.44	0	0	0	8	0.105737	0.585664	295.105	-0.0333279
